AU308151,POINT(151.5000678 -7.4999889)
AU308152,POINT(152.49987915 -7.4999889)
AU308154,POINT(154.5000748 -7.4999889)
AU309128,POINT(128.49982305 -8.5000008)
AU309129,POINT(129.49992085 -8.5000008)
AU309130,POINT(130.5000187 -8.5000008)
AU309144,POINT(144.5 -8.5)
AU309153,POINT(153.49997695 -8.5000008)
AU309154,POINT(154.5000748 -8.5000008)
AU310127,POINT(127.5 -9.5)
AU310128,POINT(128.49982305 -9.5000127)
AU310129,POINT(129.5 -9.5)
AU310130,POINT(130.5 -9.5)
AU310135,POINT(135.81678055 -9.8624944)
AU310136,POINT(136.5000327 -9.8624944)
AU310137,POINT(137.30833335 -9.8625)
AU310140,POINT(140.5 -9.5)
AU310144,POINT(144.5 -9.5)
AU310145,POINT(145.5 -9.5)
AU310153,POINT(153.49997695 -9.5000127)
AU310154,POINT(154.5000748 -9.5000127)
AU311125,POINT(125.5 -10.5)
AU311126,POINT(126.5 -10.5)
AU311127,POINT(127.5000117 -10.4999959)
AU311128,POINT(128.5 -10.5)
AU311130,POINT(130.5 -10.5)
AU311131,POINT(131.5 -10.5)
AU311132,POINT(132.5 -10.5)
AU311133,POINT(133.5 -10.5)
AU311134,POINT(134.5 -10.5)
AU311135,POINT(135.5 -10.5)
AU311136,POINT(136.5 -10.5)
AU311137,POINT(137.5 -10.5)
AU311144,POINT(144.5 -10.5)
AU311145,POINT(145.5 -10.5)
AU311146,POINT(146.5 -10.5)
AU311153,POINT(153.49997695 -10.4999959)
AU311154,POINT(154.5000748 -10.4999959)
AU312120,POINT(120.5001863 -11.5000078)
AU312121,POINT(121.49999765 -11.5000078)
AU312122,POINT(122.499809 -11.5000078)
AU312123,POINT(123.5 -11.5)
AU312124,POINT(124.5 -11.5)
AU312125,POINT(125.5 -11.5)
AU312126,POINT(126.5 -11.5)
AU312127,POINT(127.5 -11.5)
AU312128,POINT(128.5 -11.5)
AU312137,POINT(137.5 -11.5)
AU312140,POINT(140.5 -11.5)
AU312144,POINT(144.5 -11.5)
AU312148,POINT(148.5 -11.5)
AU312149,POINT(149.5 -11.5)
AU312150,POINT(150.5 -11.5)
AU312151,POINT(151.5 -11.5)
AU313120,POINT(120.5001863 -12.5000197)
AU313121,POINT(121.49999765 -12.5000197)
AU313122,POINT(122.5 -12.5)
AU313123,POINT(123.5 -12.5)
AU313124,POINT(124.5 -12.5)
AU313125,POINT(125.5 -12.5)
AU313126,POINT(126.5 -12.5)
AU313127,POINT(127.5 -12.5)
AU313128,POINT(128.5 -12.5)
AU313137,POINT(137.5 -12.5)
AU313140,POINT(140.5 -12.5)
AU314121,POINT(121.5 -13.5)
AU314122,POINT(122.5 -13.5)
AU314123,POINT(123.5 -13.5)
AU314124,POINT(124.5 -13.5)
AU314125,POINT(125.5 -13.5)
AU314127,POINT(127.5 -13.5)
AU314128,POINT(128.5 -13.5)
AU314137,POINT(137.5 -13.5)
AU314139,POINT(139.5 -13.5)
AU314140,POINT(140.5 -13.5)
AU314145,POINT(145.50005375 -13.5000029)
AU315121,POINT(121.5 -14.5)
AU315122,POINT(122.5 -14.5)
AU315123,POINT(123.5 -14.5)
AU315127,POINT(127.5 -14.5)
AU315137,POINT(137.5 -14.5)
AU315139,POINT(139.5 -14.5)
AU315140,POINT(140.4998511 -14.49998615)
AU315141,POINT(141.5 -14.5)
AU315146,POINT(146.4998651 -14.49998615)
AU316121,POINT(121.5 -15.5)
AU316122,POINT(122.499809 -15.49999805)
AU316137,POINT(137.5 -15.5)
AU316138,POINT(138.49994195 -15.49999805)
AU316139,POINT(139.50003975 -15.49999805)
AU316140,POINT(140.4998511 -15.49999805)
AU316141,POINT(141.49994895 -15.49999805)
AU317118,POINT(118.5 -16.5)
AU317119,POINT(119.5 -16.5)
AU317120,POINT(120.5 -16.5)
AU317121,POINT(121.5 -16.5)
AU317137,POINT(137.4998441 -16.50000995)
AU317138,POINT(138.49994195 -16.50000995)
AU317140,POINT(140.5 -16.5)
AU317141,POINT(141.49994895 -16.50000995)
AU318117,POINT(117.5 -17.5)
AU318118,POINT(118.5 -17.5)
AU318119,POINT(119.5 -17.5)
AU318120,POINT(120.5 -17.5)
AU318121,POINT(121.5 -17.5)
AU318147,POINT(147.5 -17.5)
AU318150,POINT(150.5 -17.5)
AU318151,POINT(151.5 -17.5)
AU318152,POINT(152.5 -17.5)
AU319113,POINT(113.5 -18.5)
AU319114,POINT(114.5 -18.5)
AU319115,POINT(115.5 -18.5)
AU319116,POINT(116.5 -18.5)
AU319117,POINT(117.5 -18.5)
AU319118,POINT(118.5 -18.5)
AU319119,POINT(119.5 -18.5)
AU319120,POINT(120.5 -18.5)
AU319147,POINT(147.5 -18.5)
AU319148,POINT(148.5 -18.5)
AU320113,POINT(113.5 -19.5)
AU320114,POINT(114.5 -19.5)
AU320115,POINT(115.5 -19.5)
AU320116,POINT(116.5 -19.5)
AU320117,POINT(117.5 -19.5)
AU320121,POINT(121.5 -19.5)
AU320147,POINT(147.5 -19.5)
AU320148,POINT(148.5 -19.5)
AU320149,POINT(149.5 -19.5)
AU321112,POINT(112.5 -20.5)
AU321113,POINT(113.5 -20.5)
AU321114,POINT(114.5 -20.5)
AU321151,POINT(151.5 -20.5)
AU321152,POINT(152.5 -20.5)
AU321153,POINT(153.5 -20.5)
AU322112,POINT(112.5 -21.5)
AU322113,POINT(113.5 -21.5)
AU322150,POINT(150.5 -21.5)
AU322151,POINT(151.5 -21.5)
AU322152,POINT(152.5 -21.5)
AU323112,POINT(112.5 -22.5)
AU323113,POINT(113.5 -22.5)
AU323151,POINT(151.5 -22.5)
AU323152,POINT(152.5 -22.5)
AU323153,POINT(153.5 -22.5)
AU324112,POINT(112.5 -23.5)
AU324113,POINT(113.5 -23.5)
AU324152,POINT(152.5 -23.5)
AU324153,POINT(153.5 -23.5)
AU325112,POINT(112.5 -24.5)
AU325153,POINT(153.5 -24.5)
AU325154,POINT(154.5 -24.5)
AU326112,POINT(112.5 -25.5)
AU326154,POINT(154.5 -25.5)
AU327112,POINT(112.5 -26.5)
AU327154,POINT(154.5 -26.5)
AU328112,POINT(112.5 -27.5)
AU328113,POINT(113.5 -27.5)
AU328114,POINT(114.5 -27.5)
AU328154,POINT(154.5 -27.5)
AU329112,POINT(112.5 -28.5)
AU330112,POINT(112.5 -29.5)
AU330113,POINT(113.5 -29.5)
AU331113,POINT(113.5 -30.5)
AU332113,POINT(113.50007445 -31.4999877)
AU332114,POINT(114.5 -31.5)
AU333114,POINT(114.5 -32.5)
AU333130,POINT(130.5000187 -32.4999996)
AU333131,POINT(131.49983005 -32.4999996)
AU333153,POINT(153.5 -32.5)
AU334114,POINT(114.5 -33.5)
AU334130,POINT(130.5000187 -33.5000115)
AU334131,POINT(131.49983005 -33.5000115)
AU334132,POINT(132.49992785 -33.5000115)
AU334133,POINT(133.5000257 -33.5000115)
AU334152,POINT(152.5 -33.5)
AU334153,POINT(153.5 -33.5)
AU335114,POINT(114.5 -34.5)
AU335115,POINT(115.5 -34.5)
AU335120,POINT(120.5001863 -34.49999475)
AU335121,POINT(121.5 -34.5)
AU335123,POINT(123.5 -34.5)
AU335133,POINT(133.5 -34.5)
AU335134,POINT(134.5 -34.5)
AU336114,POINT(114.50017225 -35.50000665)
