AR403640,"POLYGON((-67.5333333 -49.15,-67.5333333 -49.35,-67.75 -49.35,-67.75 -49.15,-67.5333333 -49.15))"
AR404520,"POLYGON((-68.65 -51.5333333,-68.65 -51.6666667,-69.2666667 -51.6666667,-69.2666667 -51.5333333,-68.65 -51.5333333))"
AR404600,"POLYGON((-68.15 -53.25,-68.15 -53.3333333,-68.3833333 -53.3333333,-68.3833333 -53.25,-68.15 -53.25))"
AR420010,"POLYGON((-55.9416667 -35.0616667,-55.9416667 -35.1683333,-56.075 -35.1683333,-56.075 -35.0616667,-55.9416667 -35.0616667))"
AR420020,"POLYGON((-56.075 -35.0616667,-56.075 -35.195,-56.325 -35.195,-56.325 -35.0616667,-56.075 -35.0616667))"
AR420030,"POLYGON((-56.325 -35.05,-56.325 -35.2,-57.1166667 -35.2,-57.1166667 -35.05,-56.325 -35.05))"
AR420040,"POLYGON((-57.1166667 -34.7333333,-57.1166667 -35.1333333,-57.3416667 -35.1333333,-57.3416667 -34.7333333,-57.1166667 -34.7333333))"
AR420050,"POLYGON((-57.3416667 -34.675,-57.3416667 -34.9,-57.7433333 -34.9,-57.7433333 -34.675,-57.3416667 -34.675))"
AR420060,"POLYGON((-57.97 -34.5116667,-57.97 -34.7066667,-58.225 -34.7066667,-58.225 -34.5116667,-57.97 -34.5116667))"
AR420070,"POLYGON((-58.225 -34.38,-58.225 -34.555,-58.5916667 -34.555,-58.5916667 -34.38,-58.225 -34.38))"
AR420090,"POLYGON((-56.5833181 -34.775,-56.5833181 -35.05,-57.1166667 -35.05,-57.1166667 -34.775,-56.5833181 -34.775))"
AR4EM042,"POLYGON((-58.4291667 -34.065,-58.4291667 -34.38,-59.0666667 -34.38,-59.0666667 -34.065,-58.4291667 -34.065))"
AR4PG124,"POLYGON((-58.4 -33.825,-58.4 -34.065,-59 -34.065,-59 -33.825,-58.4 -33.825))"
AR4PI297,"POLYGON((-59.7866667 -33.25,-59.7866667 -33.6133333,-60.25 -33.6133333,-60.25 -33.25,-59.7866667 -33.25))"
AR4PI360,"POLYGON((-60.25 -33.065,-60.25 -33.2833333,-60.5833333 -33.2833333,-60.5833333 -33.065,-60.25 -33.065))"
AR4PI404,"POLYGON((-60.5333333 -32.625,-60.5333333 -33.065,-60.7666667 -33.065,-60.7666667 -32.625,-60.5333333 -32.625))"
AR4PP112,"POLYGON((-59 -33.7666667,-59 -34.065,-59.5666667 -34.065,-59.5666667 -33.7666667,-59 -33.7666667))"
AU270110,"POLYGON((120 -60,120 -70,110 -70,110 -60,120 -60))"
AU301142,"POLYGON((143 0,143 -1,142 -1,142 0,143 0))"
AR4PP175,"POLYGON((-59.11 -33.5866667,-59.11 -33.7666667,-59.7866667 -33.7666667,-59.7866667 -33.5866667,-59.11 -33.5866667))"
AR502530,"POLYGON((-58.675 -38.5666667,-58.675 -38.5933333,-58.72 -38.5933333,-58.72 -38.5666667,-58.675 -38.5666667))"
AR502580,"POLYGON((-62.065 -38.8883334,-62.065 -38.9416667,-62.1116667 -38.9416667,-62.1116667 -38.8883334,-62.065 -38.8883334))"
AR502590,"POLYGON((-62.2413889 -38.7747222,-62.2413889 -38.8102778,-62.3166667 -38.8102778,-62.3166667 -38.7747222,-62.2413889 -38.7747222))"
AR502630,"POLYGON((-64.8766667 -40.7863889,-64.8766667 -40.8116667,-64.9230556 -40.8116667,-64.9230556 -40.7863889,-64.8766667 -40.7863889))"
AR50357B,"POLYGON((-67.4266666 -45.8433333,-67.4266666 -45.87,-67.4833334 -45.87,-67.4833334 -45.8433333,-67.4266666 -45.8433333))"
AR503670,"POLYGON((-68.3466667 -50.1066667,-68.3466667 -50.1383333,-68.4166667 -50.1383333,-68.4166667 -50.1066667,-68.3466667 -50.1066667))"
AR50451B,"POLYGON((-68.9866667 -51.585,-68.9866667 -51.6116667,-69.0416667 -51.6116667,-69.0416667 -51.585,-68.9866667 -51.585))"
AR504620,"POLYGON((-67.555 -53.7466667,-67.555 -53.8166667,-67.7333333 -53.8166667,-67.7333333 -53.7466667,-67.555 -53.7466667))"
AR504800,"POLYGON((-68.2666667 -54.7966667,-68.2666667 -54.82,-68.3266667 -54.82,-68.3266667 -54.7966667,-68.2666667 -54.7966667))"
AR530010,"POLYGON((-57.9033333 -34.4366667,-57.9033333 -34.6866667,-57.9866667 -34.6866667,-57.9866667 -34.4366667,-57.9033333 -34.4366667))"
AR530020,"POLYGON((-57.9366667 -34.3133333,-57.9366667 -34.4366667,-58.0366667 -34.4366667,-58.0366667 -34.3133333,-57.9366667 -34.3133333))"
AR530030,"POLYGON((-58.015 -34.24,-58.015 -34.3133333,-58.0816667 -34.3133333,-58.0816667 -34.24,-58.015 -34.24))"
AR530040,"POLYGON((-58.0583333 -34.1933333,-58.0583333 -34.24,-58.1416667 -34.24,-58.1416667 -34.1933333,-58.0583333 -34.1933333))"
AR530050,"POLYGON((-58.1416667 -34.1333333,-58.1416667 -34.2166667,-58.2966667 -34.2166667,-58.2966667 -34.1333333,-58.1416667 -34.1333333))"
AR530060,"POLYGON((-58.2966667 -34.0166667,-58.2966667 -34.1666667,-58.3766667 -34.1666667,-58.3766667 -34.0166667,-58.2966667 -34.0166667))"
AR530070,"POLYGON((-58.3466667 -33.9416667,-58.3466667 -34.0166667,-58.42 -34.0166667,-58.42 -33.9416667,-58.3466667 -33.9416667))"
AR530080,"POLYGON((-58.4 -33.8666667,-58.4 -33.9416667,-58.4633333 -33.9416667,-58.4633333 -33.8666667,-58.4 -33.8666667))"
AR602510,"POLYGON((-57.5022222 -38.0280556,-57.5022222 -38.0513889,-57.5455556 -38.0513889,-57.5455556 -38.0280556,-57.5022222 -38.0280556))"
AU130060,"POLYGON((90.0002105 0,90.0002105 -30.0000129,60.0001403 -30.0000129,60.0001403 0,90.0002105 0))"
AU130090,"POLYGON((120 0,120 -30,90 -30,90 0,120 0))"
AU130120,"POLYGON((150 0,150 -30,120 -30,120 0,150 0))"
AU130150,"POLYGON((180 0,180 -30,150 -30,150 0,180 0))"
AU160060,"POLYGON((90 -30,90 -60,60 -60,60 -30,90 -30))"
AU160090,"POLYGON((120 -30,120 -60,90 -60,90 -30,120 -30))"
AU160120,"POLYGON((150 -30,150 -60,120 -60,120 -30,150 -30))"
AU160150,"POLYGON((180 -30,180 -60,150 -60,150 -30,180 -30))"
AU210100,"POLYGON((110 0,110 -10,100 -10,100 0,110 0))"
AU210110,"POLYGON((120 0,120 -10,110 -10,110 0,120 0))"
AU210120,"POLYGON((130 0,130 -10,120 -10,120 0,130 0))"
AU210130,"POLYGON((140 0,140 -10,130 -10,130 0,140 0))"
AU210140,"POLYGON((150 0,150 -10,140 -10,140 0,150 0))"
AU210150,"POLYGON((160 0,160 -10,150 -10,150 0,160 0))"
AU210160,"POLYGON((170 0,170 -10,160 -10,160 0,170 0))"
AU220100,"POLYGON((110 -10,110 -20,100 -20,100 -10,110 -10))"
AU220110,"POLYGON((120 -10,120 -20,110 -20,110 -10,120 -10))"
AU220120,"POLYGON((130 -10,130 -20,120 -20,120 -10,130 -10))"
AU220130,"POLYGON((140 -10,140 -20,130 -20,130 -10,140 -10))"
AU220140,"POLYGON((150 -10,150 -20,140 -20,140 -10,150 -10))"
AU220150,"POLYGON((160 -10,160 -20,150 -20,150 -10,160 -10))"
AU220160,"POLYGON((170.5 -10,170.5 -20,160 -20,160 -10,170.5 -10))"
AU230100,"POLYGON((110 -20,110 -30,100 -30,100 -20,110 -20))"
AU230110,"POLYGON((120 -20,120 -30,110 -30,110 -20,120 -20))"
AU230140,"POLYGON((150 -20,150 -30,140 -30,140 -20,150 -20))"
AU230150,"POLYGON((160 -20,160 -30,150 -30,150 -20,160 -20))"
AU240100,"POLYGON((110 -30,110 -40,100 -40,100 -30,110 -30))"
AU240110,"POLYGON((120 -30,120 -40,110 -40,110 -30,120 -30))"
AU240120,"POLYGON((130 -30,130 -40,120 -40,120 -30,130 -30))"
AU240130,"POLYGON((140 -30,140 -40,130 -40,130 -30,140 -30))"
AU240140,"POLYGON((150 -30,150 -40,140 -40,140 -30,150 -30))"
AU240150,"POLYGON((160 -30,160 -40,150 -40,150 -30,160 -30))"
AU250130,"POLYGON((140 -40,140 -50,130 -50,130 -40,140 -40))"
AU250140,"POLYGON((150 -40,150 -50,140 -50,140 -40,150 -40))"
AU250150,"POLYGON((160 -40,160 -50,150 -50,150 -40,160 -40))"
AU2597P0,"POLYGON((86.3333333 -48.9011511,86.3333333 -57.6666667,64.1811186 -57.6666667,64.1811186 -48.9011511,86.3333333 -48.9011511))"
AU270040,"POLYGON((50 -60,50 -70,40 -70,40 -60,50 -60))"
AU270050,"POLYGON((60 -60,60 -70,50 -70,50 -60,60 -60))"
AU270060,"POLYGON((70 -60,70 -70,60 -70,60 -60,70 -60))"
AU270070,"POLYGON((80 -60,80 -70,70 -70,70 -60,80 -60))"
AU270080,"POLYGON((90 -60,90 -70,80 -70,80 -60,90 -60))"
