372269000,2016-02-19 15:37:59,2016-03-07 03:28:52
566621000,2016-02-19 16:53:49,2016-03-04 07:27:48
308136000,2016-02-20 14:40:12,2016-03-06 00:20:49
419722000,2016-02-20 15:05:38,2016-03-09 12:34:10
563760000,2016-02-20 15:45:58,2016-03-06 05:46:40
241387000,2016-02-21 15:28:51,2016-03-07 08:32:37
538001820,2016-02-21 16:56:19,2016-03-09 16:08:51
538090382,2016-02-23 14:23:25,2016-03-10 19:58:20
319282000,2016-02-23 17:18:01,2016-03-09 02:58:29
538005389,2016-02-24 10:16:33,2016-03-12 20:30:50
636014043,2016-02-24 11:52:51,2016-03-11 10:26:34
355700000,2016-02-25 13:45:37,2016-03-15 23:24:05
566693000,2016-02-25 14:56:53,2016-03-10 18:03:53
636011491,2016-02-25 15:49:40,2016-03-15 00:20:46
538002935,2016-02-27 19:38:13,2016-03-15 11:40:36
353221000,2016-02-27 19:53:34,2016-03-15 07:09:14
538005803,2016-02-29 17:46:25,2016-03-17 02:50:13
636016274,2016-02-29 18:03:14,2016-03-18 11:12:26
220565000,2016-02-29 18:09:45,2016-03-17 16:52:09
355511000,2016-02-29 19:04:57,2016-03-17 13:42:01
238008000,2016-03-02 16:45:07,2016-03-19 02:03:41
563153000,2016-03-04 12:59:24,2016-03-18 07:59:14
538001210,2016-03-04 17:44:41,2016-03-21 08:31:32
258028000,2016-03-05 19:35:26,2016-03-23 02:57:29
538006223,2016-03-06 16:23:42,2016-03-23 18:16:09
636015997,2016-03-08 16:29:13,2016-03-25 01:16:55
538005384,2016-03-10 14:33:36,2016-03-27 08:37:54
636016129,2016-03-10 15:11:04,2016-03-27 07:04:47
636092427,2016-03-11 12:38:15,2016-03-24 11:44:58
311052500,2016-03-11 13:20:44,2016-03-27 02:22:20
414741000,2016-03-11 13:28:39,2016-03-27 21:34:31
538004968,2016-03-11 14:27:45,2016-03-28 18:54:37
248610000,2016-03-11 15:03:02,2016-03-30 00:53:45
229152000,2016-03-11 15:27:15,2016-03-30 06:34:51
636016005,2016-03-12 13:19:51,2016-03-29 09:23:37
538006030,2016-03-13 13:19:46,2016-03-28 03:17:33
370858000,2016-03-13 14:21:03,2016-03-30 18:31:13
235011670,2016-03-13 14:44:02,2016-03-27 08:58:22
215213000,2016-03-13 16:16:23,2016-03-30 22:15:40
563411000,2016-03-15 14:40:38,2016-03-31 23:11:49
565429000,2016-03-16 14:13:20,2016-04-01 19:48:11
565396000,2016-03-16 15:54:53,2016-04-01 06:21:06
538003713,2016-03-17 14:26:54,2016-04-02 21:37:14
636014127,2016-03-17 16:24:11,2016-04-03 20:36:07
229093000,2016-03-17 17:07:05,2016-04-03 18:09:25
311019300,2016-03-17 17:23:50,2016-04-03 03:58:52
447158000,2016-03-18 13:55:24,2016-04-03 04:13:48
538005188,2016-03-18 15:48:19,2016-04-03 23:15:31
248055000,2016-03-19 13:39:55,2016-04-03 13:23:01
259984000,2016-03-20 12:20:13,2016-04-05 11:06:36
247108000,2016-03-20 13:39:47,2016-04-03 03:42:12
636016081,2016-03-20 14:14:19,2016-04-05 14:05:01
238009000,2016-03-20 14:56:09,2016-04-05 00:50:51
538006457,2016-03-21 12:25:22,2016-04-06 02:26:36
538003787,2016-03-21 14:38:12,2016-04-10 23:38:19
258669000,2016-03-21 14:48:36,2016-04-03 23:24:12
538005144,2016-03-22 14:43:58,2016-04-09 15:37:59
636016128,2016-03-22 15:04:55,2016-04-09 05:09:27
564966000,2016-03-22 16:20:39,2016-04-08 04:36:53
229350000,2016-03-22 17:52:26,2016-04-29 07:26:24
235069272,2016-03-22 18:38:18,2016-04-09 23:20:46
538003037,2016-03-23 15:05:04,2016-04-10 14:11:01
636015704,2016-03-23 18:10:49,2016-04-08 08:37:58
538005805,2016-03-23 18:24:21,2016-04-08 18:16:16
248889000,2016-03-24 13:24:31,2016-04-08 06:39:57
636015996,2016-03-24 14:47:39,2016-04-13 15:02:16
477117700,2016-03-24 17:42:16,2016-04-11 23:38:45
257856000,2016-03-25 13:09:21,2016-04-10 17:46:47
538005136,2016-03-25 14:43:45,2016-04-11 08:34:05
413089000,2016-03-26 16:51:22,2016-04-12 19:45:54
370467000,2016-03-27 11:38:37,2016-04-13 12:43:20
356466000,2016-03-28 12:18:17,2016-04-14 00:15:45
257932000,2016-03-28 13:41:19,2016-04-14 15:16:11
538006224,2016-03-28 14:00:44,2016-04-15 02:12:24
538006344,2016-03-29 13:00:54,2016-04-14 18:22:10
538005088,2016-03-29 13:40:08,2016-04-16 05:51:21
257664000,2016-03-30 13:13:48,2016-04-15 00:45:53
247273200,2016-03-31 12:52:25,2016-04-17 00:59:21
538006500,2016-03-31 13:27:13,2016-04-16 14:02:38
269848000,2016-04-01 15:26:39,2016-04-17 23:21:04
636014611,2016-04-01 16:01:52,2016-04-16 23:38:21
636011212,2016-04-02 12:04:41,2016-04-18 04:19:37
235101302,2016-04-03 11:59:55,2016-04-18 14:27:34
257464000,2016-04-03 13:18:24,2016-04-19 01:24:51
319545000,2016-04-03 13:42:00,2016-04-19 01:10:13
372905000,2016-04-03 14:15:39,2016-04-21 02:53:53
538005513,2016-04-04 12:31:23,2016-04-20 23:40:47
636015302,2016-04-04 12:53:15,2016-04-21 13:08:44
565712000,2016-04-05 15:12:57,2016-04-21 20:52:39
636016562,2016-04-06 15:30:12,2016-04-24 19:38:08
636015762,2016-04-06 16:22:39,2016-04-22 23:22:59
538005746,2016-04-06 17:20:04,2016-04-23 03:45:12
636015767,2016-04-07 17:03:46,2016-04-25 10:51:40
548767000,2016-04-08 13:19:17,2016-05-04 05:57:19
235308000,2016-04-08 15:00:57,2016-04-23 05:53:15
240168000,2016-04-08 15:47:36,2016-04-25 05:42:33
566123000,2016-04-08 16:42:59,2016-04-27 03:18:14
538006129,2016-04-09 13:20:10,2016-04-25 14:23:53
538005650,2016-04-09 13:35:46,2016-04-25 19:53:39
642122007,2016-04-09 15:10:38,2016-04-26 05:06:53
566234000,2016-04-10 14:18:01,2016-04-28 01:11:19
374369000,2016-04-10 14:42:29,2016-04-27 04:27:25
319058800,2016-04-12 14:32:39,2016-04-30 01:02:34
538003851,2016-04-13 13:31:23,2016-04-29 19:53:02
232167000,2016-04-13 14:56:40,2016-04-30 14:32:56
538005391,2016-04-13 14:59:40,2016-04-30 00:06:21
538002700,2016-04-15 13:09:48,2016-05-02 18:42:52
538006038,2016-04-16 16:16:16,2016-05-02 20:43:06
319377000,2016-04-17 13:27:54,2016-05-01 21:15:19
565397000,2016-04-17 13:30:15,2016-05-01 12:10:13
354255000,2016-04-17 14:01:31,2016-05-01 11:06:43
247314300,2016-04-17 15:47:06,2016-05-03 21:28:30
257722000,2016-04-18 12:58:59,2016-05-05 20:40:10
